recall_at	dataset	method	point	recall	qps
200	dbpedia-entity	hnsw_sindi	600	0.928276	41.6475
200	dbpedia-entity	hnsw_sindi	1000	0.962666	26.5348
200	dbpedia-entity	fhg	200	0.840171	108.522
200	dbpedia-entity	fhg	400	0.902966	59.723
200	dbpedia-entity	fhg	600	0.926563	41.7067
200	dbpedia-entity	fhg	1000	0.947248	26.4986
200	dbpedia-entity	fhg	2000	0.966188	14.2871
200	dbpedia-entity	uhg	200	0.891221	94.6121
200	dbpedia-entity	uhg	400	0.944176	49.6649
200	dbpedia-entity	uhg	600	0.962238	34.1212
200	dbpedia-entity	uhg	1000	0.977313	21.1206
200	dbpedia-entity	uhg	2000	0.989251	11.157
200	fever	hnsw	200	0.48083	108.824
200	fever	hnsw	400	0.633965	57.8428
200	fever	hnsw	600	0.709795	39.8062
200	fever	hnsw	1000	0.78815	25.0906
200	fever	hnsw	1600	0.84708	16.4847
200	fever	hnsw	2000	0.86987	13.511
200	fever	sindi	2000	0.79148	101.862
200	fever	sindi	3000	0.829965	75.4858
200	fever	sindi	4000	0.85381	59.9264
200	fever	sindi	6000	0.882895	42.6884
200	fever	sindi	10000	0.91328	27.1473
200	fever	sindi	20000	0.944115	14.3213
200	fever	hnsw_sindi	200	0.7329	76.8301
200	fever	hnsw_sindi	300	0.82828	56.772
200	fever	hnsw_sindi	400	0.878795	45.4818
200	fever	hnsw_sindi	600	0.92764	32.7733
200	fever	hnsw_sindi	1000	0.964075	21.4196
200	fever	fhg	200	0.824195	81.815
200	fever	fhg	400	0.89277	45.2493
200	fever	fhg	600	0.91853	31.6341
200	fever	fhg	1000	0.94141	20.0446
200	fever	fhg	2000	0.963105	11.3724
200	fever	uhg	200	0.882055	60.8973
200	fever	uhg	400	0.943185	32.3731
200	fever	uhg	600	0.96326	23.1263
200	fever	uhg	1000	0.979025	15.3115
200	fever	uhg	2000	0.990745	6.79124
